api_route,api_file,api_type,ui_status,ui_file_count,ui_files
/api/organizacao/crm/segmentos/[segmentId]/preview,app/api/organizacao/crm/segmentos/[segmentId]/preview/route.ts,public,covered,1,app/organizacao/(dashboard)/crm/segmentos/[segmentId]/page.tsx
/api/organizacao/estatisticas/buyers,app/api/organizacao/estatisticas/buyers/route.ts,public,covered,1,app/organizacao/DashboardClient.tsx
/api/organizacao/estatisticas/overview,app/api/organizacao/estatisticas/overview/route.ts,public,covered,1,app/organizacao/DashboardClient.tsx
/api/organizacao/estatisticas/time-series,app/api/organizacao/estatisticas/time-series/route.ts,public,covered,1,app/organizacao/DashboardClient.tsx
/api/organizacao/events/[id]/attendees,app/api/organizacao/events/[id]/attendees/route.ts,public,covered,1,app/organizacao/(dashboard)/eventos/[id]/EventAttendeesPanel.tsx
/api/organizacao/events/[id]/invite-token,app/api/organizacao/events/[id]/invite-token/route.ts,public,orphan,0,
/api/organizacao/events/[id]/invites,app/api/organizacao/events/[id]/invites/route.ts,public,covered,1,app/organizacao/(dashboard)/eventos/EventEditClient.tsx
/api/organizacao/events/[id]/refund,app/api/organizacao/events/[id]/refund/route.ts,public,covered,1,app/organizacao/(dashboard)/eventos/[id]/EventAttendeesPanel.tsx
/api/organizacao/events/create,app/api/organizacao/events/create/route.ts,public,covered,1,app/organizacao/(dashboard)/eventos/novo/page.tsx
/api/organizacao/events/list,app/api/organizacao/events/list/route.ts,public,covered,4,app/components/checkin/CheckinScanner.tsx; app/organizacao/(dashboard)/categorias/page.tsx; app/organizacao/(dashboard)/padel/PadelHubClient.tsx; app/organizacao/DashboardClient.tsx
/api/organizacao/events/update,app/api/organizacao/events/update/route.ts,public,covered,4,app/eventos/[slug]/EventLiveClient.tsx; app/organizacao/(dashboard)/eventos/EventEditClient.tsx; app/organizacao/(dashboard)/eventos/EventLivePrepClient.tsx; app/organizacao/DashboardClient.tsx
/api/organizacao/faturacao,app/api/organizacao/faturacao/route.ts,public,orphan,0,
